Plate_ID,Well,Sample,Type,number_of_cells/capsules,Group_1,Group_2,Group_3,Index_Set,Index_Well,Index_Name,Plate_Barcode,FA_Well
BP9735_SitukAM.1,I18,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,J18,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,K18,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,L18,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,M18,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,N18,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,O18,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,P18,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,A19,SitukAM,sample,1.0,Bright,,,PE18,A10,PE18_A10,XUPVQ-1,A10
BP9735_SitukAM.1,B19,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C19,SitukAM,sample,1.0,Bright,,,PE18,B10,PE18_B10,XUPVQ-1,B10
BP9735_SitukAM.1,D19,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E19,SitukAM,sample,1.0,Bright,,,PE18,C10,PE18_C10,XUPVQ-1,C10
BP9735_SitukAM.1,F19,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G19,SitukAM,sample,1.0,Bright,,,PE18,D10,PE18_D10,XUPVQ-1,D10
BP9735_SitukAM.1,H19,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,I19,SitukAM,sample,1.0,Bright,,,PE18,E10,PE18_E10,XUPVQ-1,E10
BP9735_SitukAM.1,J19,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,K19,SitukAM,sample,1.0,Bright,,,PE18,F10,PE18_F10,XUPVQ-1,F10
BP9735_SitukAM.1,L19,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,M19,SitukAM,sample,1.0,Bright,,,PE18,G10,PE18_G10,XUPVQ-1,G10
BP9735_SitukAM.1,N19,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,O19,SitukAM,sample,1.0,Bright,,,PE18,H10,PE18_H10,XUPVQ-1,H10
BP9735_SitukAM.1,P19,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,A20,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,B20,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C20,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,D20,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E20,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,F20,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G20,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,H20,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,I20,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,J20,,unused,,,,,,,,XUPVQ-1,
